window_id,mode,score
jiufu_e3cef2504bbb4a_first30,max,0.15672108374525717
jiufu_e3cef2504bbb4a_first30,min,0.08294075345048081
jiufu_e3cef2504bbb4a_first30,left,0.0850375100866992
jiufu_e3cef2504bbb4a_first30,right,0.0472546968438366
jiufu_5a173259b2d81c_first30,mean,0.07232119320612494
jiufu_5a173259b2d81c_first30,max,0.053451630557574646
jiufu_5a173259b2d81c_first30,min,0.06675532266046558
jiufu_5a173259b2d81c_first30,left,0.0966399286230168
jiufu_5a173259b2d81c_first30,right,0.042870009646222326
jiufu_d7a117e86dae24_first30,mean,0.08033211331742368
jiufu_d7a117e86dae24_first30,max,0.043474586748952056
jiufu_d7a117e86dae24_first30,min,0.09030739713582776
jiufu_d7a117e86dae24_first30,left,0.06986798011126133
jiufu_d7a117e86dae24_first30,right,0.09898274258223909
jiufu_f339ead1fdb0ac_first30,mean,0.08299172013898523
jiufu_f339ead1fdb0ac_first30,max,0.04331905904770679
jiufu_f339ead1fdb0ac_first30,min,0.08041312706340574
jiufu_f339ead1fdb0ac_first30,left,0.06999262390649409
jiufu_f339ead1fdb0ac_first30,right,0.061185025731417146
jiufu_6d3bdd73c6d58a_first30,mean,0.17187242609202497
jiufu_6d3bdd73c6d58a_first30,max,0.07488511929736995
jiufu_6d3bdd73c6d58a_first30,min,0.1751069053948971
jiufu_6d3bdd73c6d58a_first30,left,0.1252387373993793
jiufu_6d3bdd73c6d58a_first30,right,0.10857076896573001
jiufu_0095fbf4f8f613_first30,mean,0.08544994235848193
jiufu_0095fbf4f8f613_first30,max,0.051011157035476026
jiufu_0095fbf4f8f613_first30,min,0.10514888610551833
jiufu_0095fbf4f8f613_first30,left,0.09905127417750596
jiufu_0095fbf4f8f613_first30,right,0.055318532581299235
jiufu_6f2025aac495fd_first30,mean,0.08256910249032016
jiufu_6f2025aac495fd_first30,max,0.10477478487728918
jiufu_6f2025aac495fd_first30,min,0.07238425865290975
jiufu_6f2025aac495fd_first30,left,0.07504961686589924
jiufu_6f2025aac495fd_first30,right,0.11454108029209381
jiufu_92e9f652faa64a_first30,mean,0.010458147888558486
jiufu_92e9f652faa64a_first30,max,0.010933277819922102
jiufu_92e9f652faa64a_first30,min,0.01253876866778504
jiufu_92e9f652faa64a_first30,left,0.02856091119844741
jiufu_92e9f652faa64a_first30,right,0.007768330660269506
jiufu_fe09caa146ddbd_first30,mean,0.08111982653171917
jiufu_fe09caa146ddbd_first30,max,0.1532888147998348
jiufu_fe09caa146ddbd_first30,min,0.08865079171469484
jiufu_fe09caa146ddbd_first30,left,0.07324668424849957
jiufu_fe09caa146ddbd_first30,right,0.02891840400080015
jiufu_f6c192eaf6c290_first30,mean,0.045072759522908686
jiufu_f6c192eaf6c290_first30,max,0.06388601079453608
jiufu_f6c192eaf6c290_first30,min,0.03238742956014103
jiufu_f6c192eaf6c290_first30,left,0.03472962893433783
jiufu_f6c192eaf6c290_first30,right,0.04290345410250224
jiufu_42e874dae20aee_first30,mean,0.05401271639760177
jiufu_42e874dae20aee_first30,max,0.07126557862439803
jiufu_42e874dae20aee_first30,min,0.038766604902162986
jiufu_42e874dae20aee_first30,left,0.03950463354254782
jiufu_42e874dae20aee_first30,right,0.037234442635147906
jiufu_b45e99f5e3803e_first30,mean,0.1278476372236005
jiufu_b45e99f5e3803e_first30,max,0.07601633399123994
jiufu_b45e99f5e3803e_first30,min,0.15129513359336402
jiufu_b45e99f5e3803e_first30,left,0.18979145832271624
jiufu_b45e99f5e3803e_first30,right,0.0576081553441778
jiufu_250cea481e2ccd_first30,mean,0.06944688667675848
jiufu_250cea481e2ccd_first30,max,0.08671738134314685
jiufu_250cea481e2ccd_first30,min,0.04271014810812051
jiufu_250cea481e2ccd_first30,left,0.06750498916221737
jiufu_250cea481e2ccd_first30,right,0.08387306081987349
