reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,frozen,jiufu_b1efccc0572872_first30,A1021145,8,3,1,0.7272727272727273,0.8888888888888888,0.8
R2,direct_roi_only,jiufu_b1efccc0572872_first30,A1021145,8,4,1,0.6666666666666666,0.8888888888888888,0.7619047619047619
R2,frozen,jiufu_cbf053d260a726_first30,218,7,5,10,0.5833333333333334,0.4117647058823529,0.4827586206896552
R2,direct_roi_only,jiufu_cbf053d260a726_first30,218,6,6,11,0.5,0.35294117647058826,0.41379310344827586
R2,frozen,jiufu_b7a3631a4e36ce_first30,588,3,7,8,0.3,0.2727272727272727,0.2857142857142857
R2,direct_roi_only,jiufu_b7a3631a4e36ce_first30,588,3,7,8,0.3,0.2727272727272727,0.2857142857142857
R2,frozen,jiufu_4cadeee3a7496f_first30,697,5,10,5,0.3333333333333333,0.5,0.4
R2,direct_roi_only,jiufu_4cadeee3a7496f_first30,697,5,7,5,0.4166666666666667,0.5,0.45454545454545453
R2,frozen,jiufu_0bede2d3d6e2ef_first30,1233,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2,direct_roi_only,jiufu_0bede2d3d6e2ef_first30,1233,14,5,9,0.7368421052631579,0.6086956521739131,0.6666666666666666
R2,frozen,jiufu_771e73351d8f0d_first30,1316,22,3,8,0.88,0.7333333333333333,0.8
R2,direct_roi_only,jiufu_771e73351d8f0d_first30,1316,22,5,8,0.8148148148148148,0.7333333333333333,0.7719298245614035
R2,frozen,jiufu_ed4591eaed0b3f_first30,1496,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2,direct_roi_only,jiufu_ed4591eaed0b3f_first30,1496,15,5,8,0.75,0.6521739130434783,0.6976744186046512
