cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,190546_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,whole_window_guard,7,16,14,complete_output,7,16,14,0.30434782608695654,0.3333333333333333,0.3181818181818182
lindian49,190588_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,local_event_guard,15,10,8,partial_events_no_full_RR,14,9,9,0.6086956521739131,0.6086956521739131,0.6086956521739131
lindian49,190588_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,whole_window_guard,15,10,8,partial_events_no_full_RR,0,0,23,0.0,0.0,0.0
lindian49,196434_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,local_event_guard,6,9,10,partial_events_no_full_RR,6,9,10,0.4,0.375,0.3870967741935484
lindian49,196434_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,whole_window_guard,6,9,10,partial_events_no_full_RR,0,0,16,0.0,0.0,0.0
lindian49,200713_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,local_event_guard,16,4,2,partial_events_no_full_RR,15,3,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
lindian49,200713_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,whole_window_guard,16,4,2,partial_events_no_full_RR,0,0,18,0.0,0.0,0.0
lindian49,200718_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,local_event_guard,14,4,3,partial_events_no_full_RR,9,3,8,0.75,0.5294117647058824,0.6206896551724138
lindian49,200718_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,whole_window_guard,14,4,3,partial_events_no_full_RR,0,0,17,0.0,0.0,0.0
lindian49,210989_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T170919n210989\20230805T170919n210989.MP4,local_event_guard,17,2,1,complete_output,17,2,1,0.8947368421052632,0.9444444444444444,0.918918918918919
lindian49,210989_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T170919n210989\20230805T170919n210989.MP4,whole_window_guard,17,2,1,complete_output,17,2,1,0.8947368421052632,0.9444444444444444,0.918918918918919
lindian49,211056_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\20230805T163001n211056.MP4,local_event_guard,17,9,7,complete_output,17,9,7,0.6538461538461539,0.7083333333333334,0.68
lindian49,211056_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\20230805T163001n211056.MP4,whole_window_guard,17,9,7,complete_output,17,9,7,0.6538461538461539,0.7083333333333334,0.68
lindian49,211070_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,local_event_guard,16,9,12,partial_events_no_full_RR,16,8,12,0.6666666666666666,0.5714285714285714,0.6153846153846154
