cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,0.75,28,1,1,0.9655172413793104,0.9655172413793104,0.9655172413793104
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,0.75,27,2,0,0.9310344827586207,1.0,0.9642857142857143
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,1.0,28,1,1,0.9655172413793104,0.9655172413793104,0.9655172413793104
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,1.0,27,2,0,0.9310344827586207,1.0,0.9642857142857143
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,previously_rejected_local_guard,0.3,25,4,2,0.8620689655172413,0.9259259259259259,0.8928571428571429
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,0.1,12,20,20,0.375,0.375,0.375
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,0.1,8,24,23,0.25,0.25806451612903225,0.25396825396825395
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,0.2,23,9,9,0.71875,0.71875,0.71875
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,0.2,19,13,12,0.59375,0.6129032258064516,0.6031746031746031
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,0.3,30,2,2,0.9375,0.9375,0.9375
